x,y
40.43,108.65
85.79,90.52
36.71,99.86
169.91,83.07
140.89,117
106.89,97.79
60.32,103.17
155.93,88.18
115.93,99.23
97.8,95.19
49.57,111.03
58.51,71.75
73.84,153.76
159.66,62.2
31.6,87.81
133.89,99.79
150.95,84.2
65.88,88.86
147.91,83.02
156.76,94.7
127.89,99.79
145.12,59.61
96.23,106.63
112.87,98.89
63.89,117.79
29.9,38.09
30.3,84.77
42.8,114.29
163.98,71.15
74,84.69
60.69,59.81
128.65,67.4
128.8,113.31
77.19,86
109.84,98.38
150.94,59.14
53.09,138.6
57,83.89
23,66.81
134.87,115.91
83.1,89.09
27.14,40.13
56.6,147.67
24.77,42.69
75.07,107.85
66.62,129.82
70.44,144.91
87.01,108.19
48.5,104.68
54.3,141.6
34.19,93.89
139.89,99.79
166.75,77.25
147.97,59.34
51.8,135.41
116.95,106.47
39.07,34.45
62.1,50.76
48.3,33.89
113.98,105.26
131.76,114.79
135.61,80.89
57.1,34.69
75.67,165.76
59.77,65.83
148.89,99.79
66.7,123.97
51.09,34
107.89,104.79
67.56,135.82
21.19,51.69
175.7,91.92
145.89,99.79
63.24,104.25
119.89,107.79
66.89,132.79
125.92,111.6
57.64,77.83
62.8,41.77
41.6,111.61
99.05,105.91
142.07,60.25
32.9,90.89
69.7,168.95
29.01,81.86
72.1,107.17
57.19,102.24
156.99,91.4
88.62,91.87
45.3,120.39
65.89,120.79
80.19,87.5
142.89,99.79
66.62,126.95
54.88,113.85
55.43,144.66
129.36,79.01
130.97,65.69
26.59,75.89
75.03,156.75
66.27,168.14
70.75,84.74
168.35,80.25
25.3,72.89
61.18,56.84
121.89,99.79
127.13,76.43
52,112.72
104.89,104.91
62.39,47.78
136.89,99.79
45.19,33.89
126.61,69.86
75.69,159.79
62.64,44.82
110.89,104.79
50.79,102.13
22.09,63.69
78.05,108.17
44,117.29
149.89,117.23
68.44,138.86
130.89,99.79
71.38,147.89
68.1,86.52
72.5,150.92
57.26,80.88
101.98,105.29
35.41,96.79
83.97,108.22
57.7,150.57
69.2,106.29
146.89,117.23
178.46,97.81
154.02,59.32
178.89,100.79
47.91,126.46
157.1,60.22
153.89,85.8
62.69,90.09
136.32,62.63
60.81,115.98
21.47,60.68
60.19,62.8
66.22,105.35
139.07,61.34
94.75,94.13
126.09,73.27
133.63,64.17
175.7,109.29
161.93,116.61
76,162.76
69.44,141.88
173.58,89
170.67,113.21
152.89,117.23
143.89,117.1
159,117
165.27,74.27
60.91,159.69
155.14,97.72
155.95,117.25
138.67,81.19
59.19,68.88
60.1,36.09
141.75,81.52
91.57,93.08
21.08,57.77
39.2,105.81
22.9,45.59
178.89,103.69
48.12,108
124.89,99.79
167.89,114.69
73.13,168.36
103.76,96.92
62.12,162.74
57.5,86.88
161.24,65.05
152.1,99.19
137.88,116.7
49.19,129.5
59.89,156.79
42.09,34
27.8,78.89
132.52,80.43
63.6,165.73
36.09,35.19
93.33,107.42
38.01,102.82
57.88,114.94
50.5,132.5
122.93,109.66
165.02,115.85
21.03,54.65
54.17,101.58
58.8,153.64
62.3,38.59
173.3,111.39
61.69,53.8
21.8,48.71
54.1,34.13
90.3,108
118.94,99.6
24.09,69.81
177.48,94.85
32.93,36.51
144.86,82.09
58.02,74.79
80.94,108.19
46.69,123.39
162.62,68.05
59.59,89.3
100.76,96.1
177.89,106.79
171.73,86.22
